DepYearMth_,CF% ISY,RASK ISC,RouteGroup
2021-11,83,76.7,B 737 VEST
2021-11,101,104.3,OSL-AES
2021-11,97,110.7,OSL-ALF
2021-11,109,97.6,OSL-BGO
2021-11,109,87.5,OSL-BOO
2021-11,112,75.8,OSL-EVE
2021-11,84,91.7,OSL-HAU
2021-11,92,88.2,OSL-KKN
2021-11,96,95.9,OSL-KRS
2021-11,87,94.3,OSL-KSU
2021-11,88,79.0,OSL-LYR
2021-11,98,129.1,OSL-MOL
2021-11,105,101.9,OSL-SVG
2021-11,95,77.3,OSL-TOS
2021-11,101,89.3,OSL-TRD
2021-11,81,76.3,TRD-BOO-TOS
2021-12,68,53.5,B 737 VEST
2021-12,74,68.8,OSL-AES
2021-12,91,101.6,OSL-ALF
2021-12,76,53.0,OSL-BGO
2021-12,81,63.8,OSL-BOO
2021-12,92,67.4,OSL-EVE
2021-12,64,58.4,OSL-HAU
2021-12,86,80.4,OSL-KKN
2021-12,66,56.8,OSL-KRS
2021-12,77,78.9,OSL-KSU
2021-12,86,79.2,OSL-LYR
2021-12,75,91.7,OSL-MOL
2021-12,70,55.4,OSL-SVG
2021-12,84,70.8,OSL-TOS
2021-12,69,51.2,OSL-TRD
2021-12,73,58.7,TRD-BOO-TOS
2022-01,68,50.7,B 737 VEST
2022-01,69,66.8,OSL-AES
2022-01,73,71.3,OSL-ALF
2022-01,94,90.0,OSL-BGO
2022-01,91,76.9,OSL-BOO
2022-01,98,74.7,OSL-EVE
2022-01,66,69.1,OSL-HAU
2022-01,63,55.1,OSL-KKN
2022-01,71,56.0,OSL-KRS
2022-01,69,72.1,OSL-KSU
2022-01,75,71.9,OSL-LYR
2022-01,77,75.4,OSL-MOL
2022-01,85,75.9,OSL-SVG
2022-01,84,66.5,OSL-TOS
2022-01,85,67.2,OSL-TRD
2022-01,76,60.8,TRD-BOO-TOS
2022-02,93,78.9,B 737 VEST
2022-02,92,103.6,OSL-AES
2022-02,104,121.3,OSL-ALF
2022-02,113,133.1,OSL-BGO
2022-02,107,121.1,OSL-BOO
2022-02,109,105.5,OSL-EVE
2022-02,84,93.4,OSL-HAU
2022-02,77,82.0,OSL-KKN
2022-02,90,86.9,OSL-KRS
2022-02,94,99.6,OSL-KSU
2022-02,104,114.4,OSL-LYR
2022-02,85,92.7,OSL-MOL
2022-02,112,115.1,OSL-SVG
2022-02,111,98.2,OSL-TOS
2022-02,107,113.8,OSL-TRD
2022-02,94,86.1,TRD-BOO-TOS
2022-03,108,101.0,B 737 VEST
2022-03,97,117.9,OSL-AES
2022-03,104,128.0,OSL-ALF
2022-03,109,121.9,OSL-BGO
2022-03,112,127.4,OSL-BOO
2022-03,109,109.9,OSL-EVE
2022-03,90,100.4,OSL-HAU
2022-03,91,102.5,OSL-KKN
2022-03,100,99.9,OSL-KRS
2022-03,98,114.8,OSL-KSU
2022-03,114,155.6,OSL-LYR
2022-03,80,93.4,OSL-MOL
2022-03,103,103.8,OSL-SVG
2022-03,104,100.8,OSL-TOS
2022-03,111,115.4,OSL-TRD
2022-03,110,109.0,TRD-BOO-TOS
2022-04,94,84.7,B 737 VEST
2022-04,98,103.8,OSL-AES
2022-04,108,130.1,OSL-ALF
2022-04,108,112.4,OSL-BGO
2022-04,105,116.6,OSL-BOO
2022-04,110,110.1,OSL-EVE
2022-04,83,85.0,OSL-HAU
2022-04,94,101.2,OSL-KKN
2022-04,107,103.8,OSL-KRS
2022-04,107,113.8,OSL-KSU
2022-04,109,139.2,OSL-LYR
2022-04,91,94.8,OSL-MOL
2022-04,97,92.0,OSL-SVG
2022-04,110,108.1,OSL-TOS
2022-04,99,96.7,OSL-TRD
2022-04,91,86.8,TRD-BOO-TOS
2022-05,100,93.5,B 737 VEST
2022-05,110,127.8,OSL-AES
2022-05,107,133.6,OSL-ALF
2022-05,108,108.3,OSL-BGO
2022-05,110,123.6,OSL-BOO
2022-05,117,120.7,OSL-EVE
2022-05,90,94.9,OSL-HAU
2022-05,103,113.2,OSL-KKN
2022-05,105,107.1,OSL-KRS
2022-05,98,111.3,OSL-KSU
2022-05,112,143.6,OSL-LYR
2022-05,97,107.7,OSL-MOL
2022-05,109,104.5,OSL-SVG
2022-05,120,122.6,OSL-TOS
2022-05,108,103.9,OSL-TRD
2022-05,92,88.2,TRD-BOO-TOS
2022-06,98,96.2,B 737 VEST
2022-06,98,104.7,OSL-AES
2022-06,97,117.3,OSL-ALF
2022-06,99,97.3,OSL-BGO
2022-06,106,117.9,OSL-BOO
2022-06,98,98.6,OSL-EVE
2022-06,83,88.9,OSL-HAU
2022-06,103,112.5,OSL-KKN
2022-06,95,98.7,OSL-KRS
2022-06,89,98.9,OSL-KSU
2022-06,106,131.8,OSL-LYR
2022-06,86,93.0,OSL-MOL
2022-06,98,99.8,OSL-SVG
2022-06,104,106.9,OSL-TOS
2022-06,99,103.3,OSL-TRD
2022-06,89,84.2,TRD-BOO-TOS
2022-07,71,59.7,B 737 VEST
2022-07,76,77.3,OSL-AES
2022-07,91,108.8,OSL-ALF
2022-07,86,87.2,OSL-BGO
2022-07,99,111.9,OSL-BOO
2022-07,91,93.8,OSL-EVE
2022-07,63,67.8,OSL-HAU
2022-07,96,109.2,OSL-KKN
2022-07,74,65.4,OSL-KRS
2022-07,84,79.6,OSL-KSU
2022-07,89,106.9,OSL-LYR
2022-07,84,96.3,OSL-MOL
2022-07,81,78.0,OSL-SVG
2022-07,107,122.2,OSL-TOS
2022-07,83,90.4,OSL-TRD
2022-07,83,74.7,TRD-BOO-TOS
2022-08,82,75.2,B 737 VEST
2022-08,91,95.3,OSL-AES
2022-08,98,112.7,OSL-ALF
2022-08,87,85.1,OSL-BGO
2022-08,95,104.1,OSL-BOO
2022-08,97,95.0,OSL-EVE
2022-08,81,81.8,OSL-HAU
2022-08,99,108.0,OSL-KKN
2022-08,81,83.2,OSL-KRS
2022-08,91,89.7,OSL-KSU
2022-08,109,130.1,OSL-LYR
2022-08,97,106.0,OSL-MOL
2022-08,83,86.6,OSL-SVG
2022-08,107,116.9,OSL-TOS
2022-08,89,91.6,OSL-TRD
2022-08,81,77.6,TRD-BOO-TOS
2022-09,83,69.5,B 737 VEST
2022-09,97,98.8,OSL-AES
2022-09,98,107.3,OSL-ALF
2022-09,87,79.2,OSL-BGO
2022-09,99,109.2,OSL-BOO
2022-09,97,90.6,OSL-EVE
2022-09,87,84.6,OSL-HAU
2022-09,103,111.6,OSL-KKN
2022-09,97,93.5,OSL-KRS
2022-09,88,79.8,OSL-KSU
2022-09,98,103.9,OSL-LYR
2022-09,87,98.4,OSL-MOL
2022-09,99,92.8,OSL-SVG
2022-09,97,95.1,OSL-TOS
2022-09,92,84.7,OSL-TRD
2022-09,90,79.3,TRD-BOO-TOS
2022-10,79,63.7,B 737 VEST
2022-10,92,83.5,OSL-AES
2022-10,99,106.1,OSL-ALF
2022-10,93,83.4,OSL-BGO
2022-10,104,110.1,OSL-BOO
2022-10,102,96.8,OSL-EVE
2022-10,84,84.7,OSL-HAU
2022-10,99,98.7,OSL-KKN
2022-10,98,95.7,OSL-KRS
2022-10,84,79.3,OSL-KSU
2022-10,84,87.4,OSL-LYR
2022-10,90,94.8,OSL-MOL
2022-10,92,85.1,OSL-SVG
2022-10,98,95.0,OSL-TOS
2022-10,93,81.5,OSL-TRD
2022-10,91,82.2,TRD-BOO-TOS
